Region,Confirmed,Recovered/Migrated,Deceased
Andaman and Nicobar Islands,33.0,33.0,0.0
Andhra Pradesh,4223.0,2539.0,71.0
Arunachal Pradesh,42.0,1.0,0.0
Assam,1988.0,442.0,4.0
Bihar,4493.0,2210.0,29.0
Chandigarh,301.0,214.0,5.0
Chhattisgarh,756.0,213.0,2.0
Dadra and Nagar Haveli and Daman and Diu,12.0,1.0,0.0
Delhi,25004.0,9898.0,650.0
Goa,166.0,57.0,0.0
Gujarat,18584.0,12667.0,1155.0
Haryana,3281.0,2134.0,24.0
Himachal Pradesh,383.0,179.0,5.0
Jammu and Kashmir,3142.0,1048.0,35.0
Jharkhand,793.0,354.0,6.0
Karnataka,4320.0,1610.0,57.0
Kerala,1588.0,690.0,14.0
Ladakh,90.0,48.0,1.0
Madhya Pradesh,8762.0,5637.0,377.0
Maharashtra,77793.0,33681.0,2710.0
Manipur,124.0,38.0,0.0
Meghalaya,33.0,13.0,1.0
Mizoram,17.0,1.0,0.0
Nagaland,80.0,0.0,0.0
Odisha,2478.0,1416.0,7.0
Puducherry,82.0,25.0,0.0
Punjab,2415.0,2043.0,47.0
Rajasthan,9862.0,7104.0,213.0
Sikkim,2.0,0.0,0.0
Tamil Nadu,27256.0,14902.0,220.0
Telangana,3147.0,1587.0,105.0
Tripura,644.0,173.0,0.0
Uttarakhand,1153.0,297.0,10.0
Uttar Pradesh,9237.0,5439.0,245.0
West Bengal,6876.0,2768.0,355.0
National Total,219160.0,109462.0,6348.0
