Region,Confirmed,Recovered,Deceased
Andhra Pradesh,266.0,1.0,3.0
Andaman and Nicobar Islands,10.0,0.0,0.0
Arunachal Pradesh,1.0,0.0,0.0
Assam,26.0,0.0,0.0
Bihar,32.0,0.0,1.0
Chandigarh,18.0,7.0,0.0
Chhattisgarh,10.0,9.0,0.0
Delhi,576.0,21.0,7.0
Goa,7.0,0.0,0.0
Gujarat,165.0,25.0,13.0
Haryana,90.0,25.0,1.0
Himachal Pradesh,13.0,2.0,1.0
Jammu and Kashmir,116.0,4.0,2.0
Jharkhand,4.0,0.0,0.0
Karnataka,175.0,25.0,4.0
Kerala,327.0,58.0,2.0
Ladakh,14.0,10.0,0.0
Madhya Pradesh,229.0,0.0,13.0
Maharashtra,868.0,56.0,48.0
Manipur,2.0,0.0,0.0
Mizoram,1.0,0.0,0.0
Odisha,42.0,2.0,1.0
Puducherry,5.0,1.0,0.0
Punjab,91.0,4.0,7.0
Rajasthan,288.0,21.0,3.0
Tamil Nadu,621.0,8.0,5.0
Telangana,364.0,35.0,7.0
Tripura,1.0,0.0,0.0
Uttarakhand,31.0,5.0,0.0
Uttar Pradesh,305.0,21.0,3.0
West Bengal,91.0,13.0,3.0
National Total,4789.0,353.0,124.0
