Region,Confirmed,Recovered,Deceased
Andaman and Nicobar Islands,38.0,33.0,0.0
Andhra Pradesh,5680.0,3105.0,80.0
Arunachal Pradesh,67.0,4.0,0.0
Assam,3498.0,1537.0,8.0
Bihar,6103.0,3587.0,36.0
Chandigarh,334.0,286.0,5.0
Chhattisgarh,1429.0,550.0,6.0
Dadra and Nagar Haveli and Daman and Diu,30.0,2.0,0.0
Delhi,36824.0,13398.0,1214.0
Goa,463.0,69.0,0.0
Gujarat,22527.0,15493.0,1415.0
Haryana,6334.0,2475.0,70.0
Himachal Pradesh,486.0,297.0,6.0
Jammu and Kashmir,4730.0,2086.0,53.0
Jharkhand,1617.0,672.0,8.0
Karnataka,6516.0,3440.0,79.0
Kerala,2322.0,1000.0,19.0
Ladakh,239.0,62.0,1.0
Madhya Pradesh,10443.0,7201.0,440.0
Maharashtra,101141.0,47796.0,3717.0
Manipur,385.0,77.0,0.0
Meghalaya,44.0,22.0,1.0
Mizoram,104.0,1.0,0.0
Nagaland,156.0,49.0,0.0
Odisha,3498.0,2474.0,10.0
Puducherry,157.0,67.0,2.0
Punjab,2986.0,2282.0,63.0
Rajasthan,12068.0,8898.0,272.0
Sikkim,63.0,2.0,0.0
Tamil Nadu,40698.0,22047.0,367.0
Telangana,4484.0,2278.0,174.0
Tripura,961.0,278.0,1.0
Uttarakhand,1724.0,947.0,21.0
Uttar Pradesh,12616.0,7609.0,365.0
West Bengal,10244.0,4206.0,451.0
National Total,301009.0,154330.0,8884.0
