Region,Confirmed,Recovered/Migrated,Deceased
Andhra Pradesh,132.0,1.0,1.0
Andaman and Nicobar Islands,10.0,0.0,0.0
Arunachal Pradesh,1.0,0.0,0.0
Assam,16.0,0.0,0.0
Bihar,24.0,0.0,1.0
Chandigarh,18.0,0.0,0.0
Chhattisgarh,9.0,2.0,0.0
Delhi,219.0,8.0,4.0
Goa,6.0,0.0,0.0
Gujarat,87.0,8.0,7.0
Haryana,43.0,21.0,0.0
Himachal Pradesh,6.0,1.0,1.0
Jammu and Kashmir,70.0,3.0,2.0
Jharkhand,2.0,0.0,0.0
Karnataka,124.0,10.0,3.0
Kerala,286.0,27.0,2.0
Ladakh,14.0,3.0,0.0
Madhya Pradesh,99.0,0.0,6.0
Maharashtra,335.0,42.0,16.0
Manipur,2.0,0.0,0.0
Mizoram,1.0,0.0,0.0
Odisha,5.0,0.0,0.0
Puducherry,3.0,1.0,0.0
Punjab,46.0,1.0,4.0
Rajasthan,133.0,3.0,0.0
Tamil Nadu,309.0,6.0,1.0
Telengana,107.0,1.0,3.0
Uttarakhand,10.0,2.0,0.0
Uttar Pradesh,113.0,14.0,2.0
West Bengal,53.0,3.0,3.0
National Total,2283.0,157.0,56.0
